City_Used,City_Frequency
"Salt Lake City",4676
Draper,617
Tooele,537
Layton,489
Sandy,426
"Park City",398
"Cedar City",391
"Brian Head",391
Rowley,344
Holladay,337
Lehi,331
Clearfield,329
"American Fork",321
Payson,252
"South Salt Lake",243
"West Jordan",242
Ogden,239
Roy,236
"Cottonwood Heights",215
Promontory,167
Riverton,166
Riverdale,161
Murray,160
Brighton,157
Provo,147
Orem,145
"Spanish Fork",139
"Stansbury Park",137
Alta,133
"Brigham City",131
Grantsville,126
Eden,124
Corinne,117
Solitude,103
"South Jordan",102
"West Valley City",100
Mona,91
Kaysville,87
Tremonton,72
"Eagle Mountain",71
Logan,63
Herriman,61
"Hyde Park",50
"West Bountiful",43
"West Valley",42
"Pleasant Grove",42
Nephi,42
Magna,42
Hideout,41
Clinton,40
"South Ogden",40
"Cedar Hills",39
"North Logan",38
"Pleasant View",37
Beaver,34
"South Weber",33
taylor,33
"West Point",33
Salem,32
Lindon,30
Centerville,29
Syracuse,27
Huntsville,23
Vernal,16
"Dutch John",16
