ServiceDate,VehicleId,VehicleType,StartCity,End_City_Frequency
12/2/19,5,"FORD E350 VAN","West Valley City",6632
12/2/19,22,"FORD E35O PASSENGER VANS",Draper,990
12/2/19,14,"FORD E35O PASSENGER VANS","South Jordan",963
12/2/19,36,"2017 CHEVROLET EXPRESS VAN",Herriman,772
12/2/19,75,"FORD E350 VAN","Salt Lake City",769
12/2/19,77,"CHEV EXPRESS VAN",Bluffdale,636
12/2/19,37,"2012 TOYOTA SIENNA VAN","Salt Lake City",506
12/2/19,3,"FORD E350 VAN","Cottonwood Heights",456
12/2/19,50,"2017 TOYOTA SIENNA","South Weber",438
12/6/19,203,"2013 CHEV EXP VAN","Cedar City",420
12/6/19,203,"2013 CHEV EXP VAN","Brian Head",420
12/2/19,39,"2014 TOYOTA SIENNA FWD","Salt Lake City",414
12/2/19,53,"2017 CHEVROLET EXPRESS VAN","Salt Lake City",403
12/2/19,8,"CHEVROLET EXPRESS VAN","South Jordan",388
12/3/19,175,"TOYOTA SEINNA VAN","Salt Lake City",380
12/2/19,1,"CHEV EXPRESS VAN",Orem,374
12/2/19,1,"CHEV EXPRESS VAN",Provo,360
12/1/19,120,"2019 CHEVROLET EXPRESS VAN","Salt Lake City",344
12/2/19,3,"FORD E350 VAN",Murray,341
12/2/19,63,"2015 TOYOTA SIENNA VAN",Tooele,331
12/2/19,12,"2011CHEV EXPRESS VAN",Clearfield,330
12/2/19,161,"FORD E35O PASSENGER VANS","Salt Lake City",323
12/2/19,126,"2012 TOYOTA SIENNA",Lehi,252
12/2/19,46,"2016 TOYOTA SIENNA VAN","Salt Lake City",236
12/2/19,35,"FORD ECON E350 VAN",Riverton,206
12/2/19,72,"2019 TOYOTA SIENNA 7 PASS",Riverdale,202
12/2/19,35,"FORD ECON E350 VAN","Spanish Fork",198
12/2/19,64,"2019 TOYOTA SIENNA 7 PASS",Ogden,166
12/2/19,69,"2017 CHEVROLET EXPRESS VAN",Draper,161
12/2/19,62,"2015 CHEVROLET EXPRESS VAN","Hyde Park",159
12/6/19,262,"2019 Chevy Express 3500",Holladay,157
12/2/19,44,"TOYOTA SEINNA VAN YR2011",Tooele,156
12/2/19,43,"2014 TOYOTA SIENNA FWD","Salt Lake City",137
12/2/19,112,"FORD ECON E350 VAN",Millcreek,137
12/1/19,107,"2019 TOYOTA SIENNA 7 PASS","Salt Lake City",131
12/2/19,5,"FORD E350 VAN","Salt Lake City",124
12/1/19,151,"2016 CHEVROLET EXPRESS VAN",Eden,124
12/27/19,270,"2016 CHEVROLET EXPRESS VAN","Salt Lake City",103
12/2/19,36,"2017 CHEVROLET EXPRESS VAN",Tooele,95
12/2/19,62,"2015 CHEVROLET EXPRESS VAN",Corinne,92
12/1/19,137,"FORD 11 PASSENGER VAN",Ogden,85
12/2/19,112,"FORD ECON E350 VAN",Mona,81
12/2/19,119,"2015 CHEVROLET EXPRESS VAN",Corinne,72
12/2/19,123,"2015 TOYOTA SIENNA VAN",Draper,71
12/1/19,183,"FORD E350 VAN","Salt Lake City",71
12/2/19,73,"2017 CHEVROLET EXPRESS VAN",Promontory,63
12/2/19,135,"TOYOTA SEINNA VAN",Tooele,58
12/6/19,145,"FORD E35O PASSENGER VANS","Park City",56
12/2/19,88,"2019 Chevy Express 3500","Park City",43
12/2/19,19,"2012 FORD ECONOLINE WAGON","Salt Lake City",42
12/2/19,77,"CHEV EXPRESS VAN","South Salt Lake",42
12/2/19,198,"2014 TOYOTA SIENNA FWD",Provo,42
12/2/19,188,"2015 CHEVROLET EXPRESS VAN","Salt Lake City",42
12/2/19,240,"2019 Chevy Express 3500",Sandy,41
12/2/19,89,"2016 TOYOTA SIENNA VAN","Salt Lake City",40
12/2/19,30,"FORD ECON E350 VAN",NSL,40
12/2/19,30,"FORD ECON E350 VAN","Woods Cross",40
12/2/19,238,"2016 TOYOTA SIENNA VAN","Salt Lake City",40
12/2/19,108,"2017 CHEVROLET EXPRESS VAN","Salt Lake City",39
12/2/19,106,"2015 TOYOTA SIENNA VAN","Brigham City",38
12/2/19,164,"2014 TOYOTA SIENNA FWD",Promontory,37
12/3/19,257,"FORD ECON E350 VAN",Millcreek,35
1/3/20,211,"2012 FORD ECONOLINE E350",Beaver,34
12/2/19,50,"2017 TOYOTA SIENNA","West Jordan",33
12/2/19,66,"2015 CHEVROLET EXPRESS VAN",Tooele,33
12/2/19,227,"2017 CHEVROLET EXPRESS VAN","Salt Lake City",33
12/2/19,40,"2013 CHEV EXP VAN","Salt Lake City",32
12/2/19,111,"2013 CHEV EXP VAN","Salt Lake City",30
12/2/19,197,"2017 CHEVROLET EXPRESS VAN",Draper,29
12/2/19,147,"2013 TOYOTA SIENNA VAN","Salt Lake City",27
1/2/20,269,"2011 TOYOTA SIENNA VAN",Vernal,16
1/2/20,269,"2011 TOYOTA SIENNA VAN","Dutch John",16
12/1/19,229,"FORD ECON E350 VAN",Levan,12
12/1/19,229,"FORD ECON E350 VAN",Provo-Orem,12
1/9/20,135,"TOYOTA SEINNA VAN",Tooele,1
