ServiceDate,VehicleId,VehicleType,StartCity,Start_City_Frequency
12/2/19,5,"FORD E350 VAN","Salt Lake City",6630
12/2/19,22,"FORD E35O PASSENGER VANS",Draper,990
12/2/19,14,"FORD E35O PASSENGER VANS",Sandy,963
12/2/19,36,"2017 CHEVROLET EXPRESS VAN",Tooele,772
12/2/19,75,"FORD E350 VAN","Park City",769
12/2/19,77,"CHEV EXPRESS VAN","South Salt Lake",636
12/2/19,37,"2012 TOYOTA SIENNA VAN",Layton,506
12/2/19,3,"FORD E350 VAN",Murray,456
12/2/19,50,"2017 TOYOTA SIENNA","West Jordan",438
12/6/19,203,"2013 CHEV EXP VAN","Brian Head",420
12/6/19,203,"2013 CHEV EXP VAN","Cedar City",420
12/2/19,39,"2014 TOYOTA SIENNA FWD","American Fork",414
12/2/19,53,"2017 CHEVROLET EXPRESS VAN",Ogden,403
12/2/19,8,"CHEVROLET EXPRESS VAN","South Jordan",390
12/3/19,175,"TOYOTA SEINNA VAN",Holladay,380
12/2/19,1,"CHEV EXPRESS VAN",Provo,374
12/2/19,1,"CHEV EXPRESS VAN",Orem,360
12/1/19,120,"2019 CHEVROLET EXPRESS VAN",Rowley,344
12/2/19,3,"FORD E350 VAN","Cottonwood Heights",341
12/2/19,63,"2015 TOYOTA SIENNA VAN",Lehi,331
12/2/19,12,"2011CHEV EXPRESS VAN",Clearfield,330
12/2/19,161,"FORD E35O PASSENGER VANS",Alta,323
12/2/19,126,"2012 TOYOTA SIENNA",Payson,252
12/2/19,46,"2016 TOYOTA SIENNA VAN",Roy,236
12/2/19,35,"FORD ECON E350 VAN","Spanish Fork",206
12/2/19,72,"2019 TOYOTA SIENNA 7 PASS",Promontory,202
12/2/19,35,"FORD ECON E350 VAN",Riverton,198
12/2/19,64,"2019 TOYOTA SIENNA 7 PASS","Brigham City",166
12/2/19,69,"2017 CHEVROLET EXPRESS VAN",Riverdale,161
12/2/19,62,"2015 CHEVROLET EXPRESS VAN",Corinne,159
12/6/19,262,"2019 Chevy Express 3500",Brighton,157
12/2/19,44,"TOYOTA SEINNA VAN YR2011",Grantsville,156
12/2/19,43,"2014 TOYOTA SIENNA FWD","Stansbury Park",137
12/2/19,112,"FORD ECON E350 VAN",Mona,137
12/1/19,107,"2019 TOYOTA SIENNA 7 PASS",Kaysville,131
12/1/19,151,"2016 CHEVROLET EXPRESS VAN",Eden,124
12/2/19,5,"FORD E350 VAN","West Valley City",124
12/27/19,270,"2016 CHEVROLET EXPRESS VAN",Solitude,103
12/2/19,36,"2017 CHEVROLET EXPRESS VAN",Herriman,95
12/2/19,62,"2015 CHEVROLET EXPRESS VAN","Hyde Park",92
12/1/19,137,"FORD 11 PASSENGER VAN",Huntsville,85
12/2/19,112,"FORD ECON E350 VAN",Millcreek,81
12/2/19,119,"2015 CHEVROLET EXPRESS VAN",Tremonton,72
12/2/19,123,"2015 TOYOTA SIENNA VAN","Eagle Mountain",71
12/1/19,183,"FORD E350 VAN",Midvale,71
12/2/19,73,"2017 CHEVROLET EXPRESS VAN",Logan,63
12/2/19,135,"TOYOTA SEINNA VAN",Magna,58
12/6/19,145,"FORD E35O PASSENGER VANS",Heber,56
12/2/19,88,"2019 Chevy Express 3500","West Bountiful",43
12/2/19,19,"2012 FORD ECONOLINE WAGON","West Valley",42
12/2/19,77,"CHEV EXPRESS VAN",Bluffdale,42
12/2/19,198,"2014 TOYOTA SIENNA FWD",Nephi,42
12/2/19,188,"2015 CHEVROLET EXPRESS VAN","Pleasant Grove",42
12/2/19,240,"2019 Chevy Express 3500",Hideout,41
12/2/19,89,"2016 TOYOTA SIENNA VAN",Clinton,40
12/2/19,30,"FORD ECON E350 VAN",NSL,40
12/2/19,30,"FORD ECON E350 VAN","Woods Cross",40
12/2/19,238,"2016 TOYOTA SIENNA VAN","South Ogden",40
12/2/19,108,"2017 CHEVROLET EXPRESS VAN","Cedar Hills",39
12/2/19,106,"2015 TOYOTA SIENNA VAN","North Logan",38
12/2/19,164,"2014 TOYOTA SIENNA FWD","Pleasant View",37
12/3/19,257,"FORD ECON E350 VAN",Genola,35
1/3/20,211,"2012 FORD ECONOLINE E350",Beaver,34
12/2/19,50,"2017 TOYOTA SIENNA","South Weber",33
12/2/19,66,"2015 CHEVROLET EXPRESS VAN",taylor,33
12/2/19,227,"2017 CHEVROLET EXPRESS VAN","West Point",33
12/2/19,40,"2013 CHEV EXP VAN",Salem,32
12/2/19,111,"2013 CHEV EXP VAN",Lindon,30
12/2/19,197,"2017 CHEVROLET EXPRESS VAN",Centerville,29
12/2/19,147,"2013 TOYOTA SIENNA VAN",Syracuse,27
1/2/20,269,"2011 TOYOTA SIENNA VAN",Vernal,16
1/2/20,269,"2011 TOYOTA SIENNA VAN","Dutch John",16
12/1/19,229,"FORD ECON E350 VAN",Levan,12
12/1/19,229,"FORD ECON E350 VAN",Provo-Orem,12
1/9/20,135,"TOYOTA SEINNA VAN",Erda,1
